"Date","Price","Open","High","Low","Vol.","Change %"
"May 26, 2022","2,699.13","2,690.37","2,704.41","2,690.37","171.56M","0.33%"
"May 25, 2022","2,690.37","2,648.15","2,697.83","2,644.06","1.95B","2.20%"
"May 24, 2022","2,632.50","2,658.18","2,666.07","2,632.29","1.54B","-0.46%"
"May 23, 2022","2,644.67","2,655.28","2,662.05","2,602.03","2.06B","0.49%"
"May 20, 2022","2,631.81","2,649.13","2,675.02","2,631.81","1.99B","-0.87%"
"May 18, 2022","2,655.03","2,646.25","2,674.13","2,638.22","1.98B","0.14%"
"May 17, 2022","2,651.44","2,659.14","2,679.47","2,636.33","1.82B","0.19%"
"May 16, 2022","2,646.41","2,681.36","2,686.93","2,646.41","1.78B","-1.33%"
"May 13, 2022","2,681.97","2,690.99","2,696.19","2,658.71","1.37B","0.77%"
"May 12, 2022","2,661.53","2,705.58","2,709.01","2,629.01","2.40B","-2.72%"
"May 11, 2022","2,735.81","2,780.80","2,783.55","2,703.97","2.01B","-1.24%"
"May 10, 2022","2,770.14","2,748.11","2,775.59","2,748.11","2.08B","1.32%"
"May 09, 2022","2,734.18","2,729.87","2,750.14","2,705.99","1.95B","0.28%"
"May 06, 2022","2,726.54","2,738.67","2,748.76","2,699.31","1.80B","-0.64%"
"May 05, 2022","2,744.12","2,741.74","2,774.51","2,738.96","1.74B","1.47%"
"Apr 29, 2022","2,704.44","2,712.41","2,724.78","2,675.39","1.81B","-0.09%"
"Apr 28, 2022","2,706.80","2,754.53","2,775.74","2,706.55","1.97B","-1.40%"
"Apr 27, 2022","2,745.21","2,709.85","2,748.84","2,684.64","2.23B","1.52%"
"Apr 26, 2022","2,704.24","2,781.90","2,812.75","2,686.82","2.56B","-2.79%"
"Apr 25, 2022","2,781.90","2,765.33","2,800.58","2,719.21","2.42B","0.60%"
"Apr 22, 2022","2,765.33","2,852.77","2,866.34","2,757.08","2.70B","-3.40%"
"Apr 21, 2022","2,862.54","2,828.49","2,869.50","2,826.74","2.83B","1.46%"
"Apr 20, 2022","2,821.41","2,824.99","2,835.69","2,795.93","2.16B","0.13%"
"Apr 19, 2022","2,817.68","2,821.51","2,833.48","2,785.88","2.70B","0.44%"
"Apr 18, 2022","2,805.24","2,796.08","2,812.44","2,780.90","2.31B","0.62%"
"Apr 15, 2022","2,787.89","2,773.09","2,793.05","2,766.90","1.88B","0.58%"
"Apr 14, 2022","2,771.91","2,783.80","2,788.22","2,756.43","2.55B","0.59%"
"Apr 13, 2022","2,755.65","2,776.68","2,796.99","2,723.44","3.09B","0.21%"
"Apr 12, 2022","2,749.92","2,733.22","2,766.94","2,702.23","3.32B","0.68%"
"Apr 11, 2022","2,731.36","2,672.83","2,731.88","2,669.59","3.61B","2.58%"
"Apr 08, 2022","2,662.70","2,622.80","2,665.27","2,619.47","2.78B","2.29%"
"Apr 07, 2022","2,603.10","2,586.16","2,611.42","2,586.16","2.02B","1.17%"
"Apr 06, 2022","2,572.94","2,592.02","2,615.66","2,563.23","2.05B","-0.66%"
"Apr 05, 2022","2,590.15","2,583.70","2,613.72","2,563.84","2.88B","0.51%"
"Apr 04, 2022","2,576.99","2,516.89","2,576.99","2,516.86","3.08B","3.05%"
"Apr 01, 2022","2,500.71","2,483.22","2,507.55","2,475.20","2.30B","0.95%"
"Mar 31, 2022","2,477.16","2,482.97","2,495.27","2,462.60","1.79B","0.02%"
"Mar 30, 2022","2,476.74","2,452.41","2,477.42","2,451.76","1.96B","1.27%"
"Mar 29, 2022","2,445.80","2,409.67","2,460.60","2,409.67","2.03B","1.91%"
"Mar 28, 2022","2,399.98","2,418.05","2,430.05","2,399.98","1.31B","-0.53%"
"Mar 25, 2022","2,412.84","2,423.34","2,440.58","2,412.57","1.14B","-0.30%"
"Mar 24, 2022","2,419.99","2,435.15","2,448.79","2,415.00","1.90B","-0.46%"
"Mar 23, 2022","2,431.21","2,449.93","2,459.28","2,416.55","1.97B","-0.48%"
"Mar 22, 2022","2,442.94","2,401.33","2,443.47","2,395.46","1.68B","0.27%"
"Mar 21, 2022","2,436.48","2,421.78","2,437.92","2,409.60","1.59B","1.35%"
"Mar 18, 2022","2,404.04","2,408.01","2,414.92","2,390.07","1.41B","0.21%"
"Mar 17, 2022","2,398.94","2,357.88","2,402.75","2,357.88","2.03B","2.54%"
"Mar 16, 2022","2,339.62","2,346.49","2,353.73","2,326.24","1.63B","0.36%"
