"Date","Price","Open","High","Low","Change %"
"May 26, 2022","17.5373","17.4764","17.5674","17.4135","0.50%"
"May 25, 2022","17.4493","17.2827","17.5245","17.1511","1.02%"
"May 24, 2022","17.2725","17.0321","17.3611","16.9386","1.46%"
"May 23, 2022","17.0239","16.8134","17.0791","16.6866","1.49%"
"May 20, 2022","16.7741","16.8151","16.9973","16.7143","0.05%"
"May 19, 2022","16.7659","16.6933","16.8577","16.6648","0.58%"
"May 18, 2022","16.6694","16.7712","16.8779","16.5660","-0.57%"
"May 17, 2022","16.7646","16.2225","16.8020","16.1800","3.43%"
"May 16, 2022","16.2091","16.1068","16.3326","16.0139","0.60%"
"May 13, 2022","16.1130","15.9632","16.1815","15.8607","1.05%"
"May 12, 2022","15.9448","16.0972","16.2201","15.9170","-0.83%"
"May 11, 2022","16.0787","16.0655","16.3023","15.9667","0.16%"
"May 10, 2022","16.0523","15.9291","16.1776","15.8776","0.82%"
"May 09, 2022","15.9214","15.7640","15.9941","15.6338","0.96%"
"May 06, 2022","15.7704","15.6692","15.8426","15.5268","0.76%"
"May 05, 2022","15.6515","15.6551","15.8013","15.5711","0.06%"
"May 04, 2022","15.6428","15.5785","15.7071","15.5307","0.36%"
"May 03, 2022","15.5864","15.6474","15.7255","15.5764","-0.16%"
"May 02, 2022","15.6113","15.6508","15.7355","15.6152","-0.21%"
"Apr 29, 2022","15.6445","15.5246","15.7264","15.4512","0.77%"
"Apr 28, 2022","15.5253","15.6320","15.6850","15.4415","-0.59%"
"Apr 27, 2022","15.6168","15.7432","15.8232","15.5933","-0.76%"
"Apr 26, 2022","15.7366","15.8299","15.9314","15.7029","-0.53%"
"Apr 25, 2022","15.8204","15.9833","16.0073","15.7296","-0.52%"
"Apr 22, 2022","15.9038","15.9404","16.0376","15.8521","-0.17%"
"Apr 21, 2022","15.9301","15.9271","16.0963","15.8236","0.07%"
"Apr 20, 2022","15.9194","15.8097","15.9699","15.7386","0.81%"
"Apr 19, 2022","15.7916","15.7866","15.9000","15.6962","0.10%"
"Apr 18, 2022","15.7762","15.8151","15.9017","15.6897","-0.19%"
"Apr 15, 2022","15.8070","15.8228","15.8989","15.7038","0.02%"
"Apr 14, 2022","15.8044","15.8904","16.0177","15.7315","-0.49%"
"Apr 13, 2022","15.8821","15.8083","15.9979","15.6750","0.50%"
"Apr 12, 2022","15.8037","15.9590","16.0386","15.7857","-0.95%"
"Apr 11, 2022","15.9559","16.1287","16.1604","15.9300","-0.50%"
"Apr 08, 2022","16.0357","16.0333","16.1084","15.9255","0.06%"
"Apr 07, 2022","16.0262","16.0261","16.1798","15.9812","0.06%"
"Apr 06, 2022","16.0173","16.0520","16.1432","15.9505","-0.17%"
"Apr 05, 2022","16.0451","16.1164","16.2220","16.0203","-0.35%"
"Apr 04, 2022","16.1020","16.2355","16.3131","16.0987","-0.78%"
"Apr 01, 2022","16.2286","16.2367","16.3351","16.1054","-0.02%"
"Mar 31, 2022","16.2324","16.3522","16.4473","16.2217","-0.65%"
"Mar 30, 2022","16.3392","16.1698","16.4144","16.1266","1.11%"
"Mar 29, 2022","16.1595","16.2705","16.5478","16.1388","-0.64%"
"Mar 28, 2022","16.2635","16.2935","16.3660","16.1688","-0.13%"
"Mar 25, 2022","16.2842","16.3018","16.4408","16.2277","0.00%"
"Mar 24, 2022","16.2841","16.3270","16.4045","16.1970","-0.20%"
"Mar 23, 2022","16.3161","16.3505","16.4368","16.2349","-0.13%"
"Mar 22, 2022","16.3377","16.3311","16.4020","16.1786","0.12%"
"Mar 21, 2022","16.3180","16.3773","16.4807","16.2698","-0.13%"
"Mar 18, 2022","16.3398","16.3057","16.4820","16.1325","0.24%"
"Mar 17, 2022","16.3006","16.1516","16.4057","15.9865","1.15%"
"Mar 16, 2022","16.1152","16.1077","16.2974","15.9946","0.11%"
"Mar 15, 2022","16.0982","16.1698","16.3961","15.9311","-0.40%"
"Mar 14, 2022","16.1628","16.1568","16.3486","16.0639","0.42%"
"Mar 11, 2022","16.0952","16.3025","16.5550","16.0421","-1.07%"
"Mar 10, 2022","16.2692","16.2276","16.5572","16.0970","0.36%"
"Mar 09, 2022","16.2114","15.8025","16.2801","15.7602","2.75%"
"Mar 08, 2022","15.7776","15.6051","15.8989","15.5455","1.19%"
"Mar 07, 2022","15.5915","15.4634","15.7137","15.3561","0.60%"
"Mar 04, 2022","15.4980","15.6258","15.9110","15.3769","-0.62%"
"Mar 03, 2022","15.5947","15.5863","15.7667","15.4479","0.10%"
"Mar 02, 2022","15.5787","15.4876","15.8038","15.3743","0.62%"
"Mar 01, 2022","15.4826","15.5181","15.7004","15.3250","-0.32%"
"Feb 28, 2022","15.5319","15.4537","15.8085","15.2846","-0.25%"
"Feb 25, 2022","15.5705","15.7076","15.8832","15.4032","-0.64%"
"Feb 24, 2022","15.6712","15.6385","16.4683","15.4488","0.36%"
"Feb 23, 2022","15.6156","15.6182","15.7439","15.4612","0.04%"
"Feb 22, 2022","15.6090","15.4952","15.7945","15.3821","0.88%"
"Feb 21, 2022","15.4731","15.4507","15.5684","15.3815","0.18%"
"Feb 18, 2022","15.4448","15.4249","15.5526","15.3455","0.16%"
"Feb 17, 2022","15.4196","15.4689","15.5517","15.3672","-0.29%"
"Feb 16, 2022","15.4642","15.4577","15.5736","15.3691","0.17%"
"Feb 15, 2022","15.4372","15.3763","15.5716","15.2936","0.52%"
"Feb 14, 2022","15.3576","15.3479","15.4993","15.1964","0.11%"
"Feb 11, 2022","15.3412","15.4248","15.4979","15.2409","-0.32%"
"Feb 10, 2022","15.3902","15.4754","15.6426","15.3539","-0.37%"
"Feb 09, 2022","15.4477","15.4852","15.6519","15.3743","-0.17%"
"Feb 08, 2022","15.4734","15.5583","15.6887","15.3770","-0.36%"
"Feb 07, 2022","15.5289","15.5338","15.6663","15.3659","0.06%"
"Feb 04, 2022","15.5203","15.5119","15.6115","15.4380","0.10%"
"Feb 03, 2022","15.5041","15.2179","15.6002","15.1119","1.97%"
"Feb 02, 2022","15.2040","15.0732","15.4602","14.9264","0.91%"
"Feb 01, 2022","15.0662","14.9647","15.3198","14.8270","0.79%"
"Jan 31, 2022","14.9482","15.1071","15.2874","14.7755","-1.00%"
"Jan 28, 2022","15.0995","15.2130","15.3420","14.9937","-0.71%"
"Jan 27, 2022","15.2069","15.2617","15.4765","15.0436","-0.17%"
"Jan 26, 2022","15.2330","15.2359","15.4831","15.0833","0.04%"
"Jan 25, 2022","15.2275","15.2475","15.4426","15.0017","0.02%"
"Jan 24, 2022","15.2243","15.2612","15.4689","14.9866","-0.05%"
"Jan 21, 2022","15.2315","15.1073","15.4389","14.9325","0.86%"
"Jan 20, 2022","15.1022","15.2094","15.3705","15.0555","-0.43%"
"Jan 19, 2022","15.1681","15.3244","15.6106","15.1125","-1.01%"
"Jan 18, 2022","15.3231","15.3376","15.6295","15.1452","0.07%"
"Jan 17, 2022","15.3117","15.4416","15.7615","15.0905","-0.79%"
"Jan 14, 2022","15.4333","15.5756","15.6826","15.3494","-0.63%"
"Jan 13, 2022","15.5305","15.1259","15.8190","15.0518","2.98%"
"Jan 12, 2022","15.0818","15.6851","15.8657","15.0403","-3.81%"
"Jan 11, 2022","15.6797","15.6430","15.8428","15.3526","0.30%"
"Jan 10, 2022","15.6331","15.7514","15.8975","15.3240","-0.78%"
"Jan 07, 2022","15.7561","15.6530","15.8704","15.3324","0.97%"
"Jan 06, 2022","15.6054","15.4698","15.7670","15.0757","1.06%"
"Jan 05, 2022","15.4410","15.1341","15.5848","14.8706","2.62%"
"Jan 04, 2022","15.0461","14.8554","15.4561","14.5403","1.46%"
"Jan 03, 2022","14.8298","15.1401","15.9354","14.3707","-2.03%"
"Dec 31, 2021","15.1377","14.8900","15.5439","14.5925","1.65%"
"Dec 30, 2021","14.8927","14.3441","15.3146","14.0142","3.86%"
"Dec 29, 2021","14.3392","13.3525","14.4887","13.3074","7.47%"
"Dec 28, 2021","13.3421","13.2324","13.6247","13.0281","0.86%"
"Dec 27, 2021","13.2289","12.1694","13.4317","12.0701","9.78%"
"Dec 24, 2021","12.0503","12.9208","13.9466","11.7260","-6.73%"
"Dec 23, 2021","12.9197","13.6190","14.0236","11.5042","-4.79%"
"Dec 22, 2021","13.5690","14.0255","14.4692","13.5071","-3.27%"
"Dec 21, 2021","14.0283","15.2318","16.0333","13.0950","-7.87%"
"Dec 20, 2021","15.2269","18.5306","20.7423","15.2288","-17.45%"
"Dec 17, 2021","18.4455","17.7549","19.4449","17.6970","3.93%"
"Dec 16, 2021","17.7480","16.6948","17.8776","16.6778","6.35%"
"Dec 15, 2021","16.6877","16.2024","16.7663","16.1724","3.05%"
"Dec 14, 2021","16.1939","15.5878","16.3404","15.5555","4.04%"
"Dec 13, 2021","15.5652","15.6939","16.5136","15.3022","-0.83%"
"Dec 10, 2021","15.6951","15.5677","15.7800","15.4579","0.85%"
"Dec 09, 2021","15.5623","15.5126","15.6803","15.4240","0.36%"
"Dec 08, 2021","15.5068","15.2044","15.6543","15.1714","2.01%"
"Dec 07, 2021","15.2008","15.5754","15.6440","15.0847","-2.30%"
"Dec 06, 2021","15.5582","15.5128","15.7268","15.3767","0.38%"
"Dec 03, 2021","15.4988","15.4660","15.8024","15.0527","0.75%"
"Dec 02, 2021","15.3830","15.0171","15.6790","14.9567","2.46%"
"Dec 01, 2021","15.0130","15.2830","15.7169","14.0392","-1.70%"
"Nov 30, 2021","15.2732","14.4757","15.5969","14.3518","5.68%"
"Nov 29, 2021","14.4527","14.0372","14.5779","13.9056","2.80%"
"Nov 26, 2021","14.0585","13.4389","14.3474","13.3431","5.51%"
"Nov 25, 2021","13.3239","13.5380","13.7534","13.2221","-1.53%"
"Nov 24, 2021","13.5309","14.4217","14.8385","12.9392","-6.14%"
"Nov 23, 2021","14.4165","12.7895","15.2085","12.7327","12.78%"
"Nov 22, 2021","12.7832","12.6877","12.9433","12.3312","0.78%"
"Nov 19, 2021","12.6844","12.5838","12.8348","12.2725","1.49%"
"Nov 18, 2021","12.4985","12.0306","12.8307","11.8232","4.07%"
"Nov 17, 2021","12.0098","11.7093","12.0942","11.6573","2.62%"
"Nov 16, 2021","11.7033","11.4379","11.8251","11.4146","2.44%"
"Nov 15, 2021","11.4244","11.4274","11.5367","11.3853","0.03%"
"Nov 12, 2021","11.4215","11.3424","11.4809","11.2888","0.86%"
"Nov 11, 2021","11.3239","11.3043","11.4487","11.2826","0.28%"
"Nov 10, 2021","11.2919","11.2836","11.4205","11.2508","0.17%"
"Nov 09, 2021","11.2725","11.2238","11.3027","11.1834","0.51%"
"Nov 08, 2021","11.2152","11.2153","11.2941","11.1531","0.23%"
"Nov 05, 2021","11.1891","11.2113","11.2723","11.1337","-0.02%"
"Nov 04, 2021","11.1910","11.1991","11.2920","11.1574","0.10%"
"Nov 03, 2021","11.1793","11.1198","11.3289","11.0921","0.65%"
"Nov 02, 2021","11.1074","11.0731","11.1453","10.9663","0.41%"
"Nov 01, 2021","11.0615","11.1086","11.1212","10.9725","-0.36%"
"Oct 29, 2021","11.1020","11.1461","11.2217","11.0674","-0.21%"
"Oct 28, 2021","11.1256","11.0211","11.1858","10.9833","1.15%"
"Oct 27, 2021","10.9993","11.0674","11.0881","10.9649","-0.48%"
"Oct 26, 2021","11.0522","11.1292","11.1770","10.9170","-0.61%"
"Oct 25, 2021","11.1198","11.1888","11.4775","11.0620","-0.30%"
"Oct 22, 2021","11.1528","11.0644","11.2515","11.0152","0.97%"
"Oct 21, 2021","11.0458","10.7407","11.1032","10.7151","2.96%"
