Date,Open,High,Low,Close,Adj Close,Volume
2020-05-27,2.520000,2.570000,2.500000,2.530000,2.530000,130533770
2020-05-28,2.550000,2.590000,2.530000,2.550000,2.550000,101566845
2020-05-29,2.530000,2.570000,2.490000,2.520000,2.520000,78052384
2020-06-01,2.540000,2.620000,2.530000,2.610000,2.610000,147170375
2020-06-02,2.620000,2.630000,2.560000,2.580000,2.580000,118405288
2020-06-03,2.600000,2.610000,2.560000,2.600000,2.600000,65199423
2020-06-04,2.600000,2.640000,2.580000,2.600000,2.600000,99576521
2020-06-05,2.620000,2.630000,2.600000,2.610000,2.610000,57206082
2020-06-08,2.620000,2.690000,2.610000,2.630000,2.630000,127316685
2020-06-09,2.630000,2.650000,2.580000,2.610000,2.610000,80152135
2020-06-10,2.620000,2.700000,2.610000,2.670000,2.670000,163506167
2020-06-11,2.660000,2.750000,2.650000,2.680000,2.680000,180665169
2020-06-12,2.660000,2.780000,2.650000,2.730000,2.730000,163222988
2020-06-15,2.700000,2.760000,2.700000,2.720000,2.720000,131026721
2020-06-16,2.760000,2.780000,2.740000,2.750000,2.750000,108667443
2020-06-17,2.760000,2.800000,2.730000,2.780000,2.780000,141056749
2020-06-18,2.810000,3.050000,2.800000,3.040000,3.040000,775774179
2020-06-19,3.060000,3.220000,2.910000,2.910000,2.910000,954008461
2020-06-22,2.930000,3.010000,2.880000,2.910000,2.910000,253829584
2020-06-23,2.920000,3.020000,2.910000,2.960000,2.960000,439261998
2020-06-24,2.970000,3.190000,2.970000,3.120000,3.120000,1072914480
2020-06-25,3.140000,3.150000,2.990000,3.020000,3.020000,273593172
2020-06-26,3.050000,3.110000,3.000000,3.040000,3.040000,238353540
2020-06-29,3.050000,3.130000,3.040000,3.120000,3.120000,259892091
2020-06-30,3.140000,3.290000,3.120000,3.250000,3.250000,858560269
2020-07-01,3.260000,3.320000,3.200000,3.250000,3.250000,630467255
2020-07-02,3.250000,3.280000,3.220000,3.240000,3.240000,243929888
2020-07-03,3.220000,3.220000,3.130000,3.160000,3.160000,202353669
2020-07-06,3.200000,3.280000,3.170000,3.230000,3.230000,274757126
2020-07-07,3.220000,3.270000,3.160000,3.200000,3.200000,220916953
2020-07-08,3.200000,3.320000,3.180000,3.250000,3.250000,598418566
2020-07-09,3.280000,3.310000,3.120000,3.120000,3.120000,266699125
2020-07-10,3.090000,3.100000,2.920000,3.040000,3.040000,263200192
2020-07-13,3.070000,3.140000,3.070000,3.140000,3.140000,138487681
2020-07-14,3.120000,3.160000,3.070000,3.080000,3.080000,143689032
2020-07-16,3.150000,3.210000,3.110000,3.120000,3.120000,150238543
