"Date","Price","Open","High","Low","Vol.","Change %"
"May 25, 2022","14.50","14.50","14.50","14.50","-","1.40%"
"May 24, 2022","14.30","14.30","14.30","14.30","-","1.11%"
"May 23, 2022","14.15","14.15","14.15","14.15","-","0.40%"
"May 20, 2022","14.09","14.09","14.09","14.09","-","1.27%"
"May 18, 2022","13.91","13.91","13.91","13.91","-","-1.00%"
"May 17, 2022","14.05","14.05","14.05","14.05","-","-1.89%"
"May 16, 2022","14.33","14.33","14.33","14.33","-","2.97%"
"May 13, 2022","13.91","13.91","13.91","13.91","-","3.91%"
"May 12, 2022","13.39","13.39","13.39","13.39","-","-4.16%"
"May 11, 2022","13.97","13.97","13.97","13.97","-","0.00%"
"May 10, 2022","13.97","13.97","13.97","13.97","-","1.21%"
"May 09, 2022","13.81","13.81","13.81","13.81","-","0.73%"
"May 06, 2022","13.71","13.71","13.71","13.71","-","-0.38%"
"May 05, 2022","13.76","13.76","13.76","13.76","-","-5.89%"
"Apr 29, 2022","14.62","14.62","14.62","14.62","-","2.12%"
"Apr 28, 2022","14.32","14.32","14.32","14.32","-","3.74%"
"Apr 27, 2022","13.80","13.80","13.80","13.80","-","-0.72%"
"Apr 26, 2022","13.90","13.90","13.90","13.90","-","-0.80%"
"Apr 25, 2022","14.01","14.01","14.01","14.01","-","-0.32%"
"Apr 22, 2022","14.06","14.06","14.06","14.06","-","-1.31%"
"Apr 21, 2022","14.24","14.24","14.24","14.24","-","0.57%"
"Apr 20, 2022","14.16","14.16","14.16","14.16","-","0.08%"
"Apr 19, 2022","14.15","14.15","14.15","14.15","-","1.09%"
"Apr 18, 2022","14.00","14.00","14.00","14.00","-","-0.47%"
"Apr 15, 2022","14.07","14.07","14.07","14.07","-","8.41%"
"Apr 14, 2022","12.97","12.97","12.97","12.97","-","-4.95%"
"Apr 13, 2022","13.65","13.65","13.65","13.65","-","-3.20%"
"Apr 12, 2022","14.10","14.10","14.10","14.10","-","0.35%"
"Apr 11, 2022","14.05","14.05","14.05","14.05","-","0.00%"
"Apr 08, 2022","14.06","14.06","14.06","14.06","-","0.95%"
"Apr 07, 2022","13.92","13.92","13.92","13.92","-","-1.33%"
"Apr 06, 2022","14.11","14.11","14.11","14.11","-","0.25%"
"Apr 05, 2022","14.08","14.08","14.08","14.08","-","-0.43%"
"Apr 04, 2022","14.14","14.14","14.14","14.14","-","0.57%"
"Apr 01, 2022","14.06","14.06","14.06","14.06","-","10.28%"
"Mar 31, 2022","12.75","12.75","12.75","12.75","-","-1.72%"
"Mar 30, 2022","12.97","12.97","12.97","12.97","-","-4.98%"
"Mar 29, 2022","13.65","13.65","13.65","13.65","-","-1.50%"
"Mar 28, 2022","13.86","13.86","13.86","13.86","-","-1.42%"
"Mar 25, 2022","14.06","14.06","14.06","14.06","-","-0.98%"
"Mar 24, 2022","14.20","14.20","14.20","14.20","-","-0.49%"
"Mar 23, 2022","14.27","14.27","14.27","14.27","-","-0.39%"
"Mar 22, 2022","14.32","14.32","14.32","14.32","-","-0.42%"
"Mar 21, 2022","14.38","14.38","14.38","14.38","-","1.83%"
"Mar 18, 2022","14.12","14.12","14.12","14.12","-","6.12%"
"Mar 17, 2022","13.31","13.31","13.31","13.31","-","-6.92%"
"Mar 16, 2022","14.30","14.30","14.30","14.30","-","0.00%"
"Mar 15, 2022","14.29","14.29","14.29","14.29","-","0.27%"
"Mar 14, 2022","14.26","14.26","14.26","14.26","-","0.63%"
"Mar 11, 2022","14.17","14.17","14.17","14.17","-","-2.09%"
"Mar 10, 2022","14.47","14.47","14.47","14.47","-","0.77%"
"Mar 09, 2022","14.36","14.36","14.36","14.36","-","-1.11%"
"Mar 08, 2022","14.52","14.52","14.52","14.52","-","-0.18%"
"Mar 07, 2022","14.55","14.55","14.55","14.55","-","4.65%"
"Mar 04, 2022","13.90","13.90","13.90","13.90","-","-3.34%"
"Mar 03, 2022","14.38","14.38","14.38","14.38","-","-2.48%"
"Mar 02, 2022","14.74","14.74","14.74","14.74","-","2.23%"
"Mar 01, 2022","14.42","14.42","14.42","14.42","-","-1.63%"
"Feb 28, 2022","14.66","14.66","14.66","14.66","-","4.87%"
"Feb 25, 2022","13.98","13.98","13.98","13.98","-","-2.44%"
"Feb 24, 2022","14.33","14.33","14.33","14.33","-","0.76%"
"Feb 23, 2022","14.22","14.22","14.22","14.22","-","0.36%"
"Feb 22, 2022","14.17","14.17","14.17","14.17","-","-0.85%"
"Feb 21, 2022","14.29","14.29","14.29","14.29","-","-0.66%"
"Feb 18, 2022","14.39","14.39","14.39","14.39","-","12.97%"
"Feb 17, 2022","12.74","12.74","12.74","12.74","-","-8.99%"
"Feb 16, 2022","13.99","13.99","13.99","13.99","-","-0.10%"
"Feb 15, 2022","14.01","14.01","14.01","14.01","-","0.44%"
"Feb 14, 2022","13.95","13.95","13.95","13.95","-","-0.55%"
"Feb 11, 2022","14.02","14.02","14.02","14.02","-","-0.19%"
"Feb 10, 2022","14.05","14.05","14.05","14.05","-","0.60%"
"Feb 09, 2022","13.97","13.97","13.97","13.97","-","-3.68%"
"Feb 08, 2022","14.50","14.50","14.50","14.50","-","0.37%"
"Feb 07, 2022","14.45","14.45","14.45","14.45","-","3.58%"
"Feb 04, 2022","13.95","13.95","13.95","13.95","-","-2.14%"
"Feb 03, 2022","14.25","14.25","14.25","14.25","-","-0.65%"
"Feb 02, 2022","14.35","14.35","14.35","14.35","-","0.52%"
"Feb 01, 2022","14.27","14.27","14.27","14.27","-","2.32%"
"Jan 31, 2022","13.95","13.95","13.95","13.95","-","-1.99%"
"Jan 28, 2022","14.23","14.23","14.23","14.23","-","0.19%"
"Jan 27, 2022","14.20","14.20","14.20","14.20","-","-0.74%"
"Jan 26, 2022","14.31","14.31","14.31","14.31","-","-2.96%"
"Jan 25, 2022","14.75","14.75","14.75","14.75","-","-1.17%"
"Jan 24, 2022","14.92","14.92","14.92","14.92","-","5.02%"
"Jan 21, 2022","14.21","14.21","14.21","14.21","-","-1.65%"
"Jan 20, 2022","14.45","14.45","14.45","14.45","-","-3.98%"
"Jan 19, 2022","15.04","15.04","15.04","15.04","-","9.31%"
"Jan 18, 2022","13.76","13.76","13.76","13.76","-","-2.82%"
"Jan 17, 2022","14.16","14.16","14.16","14.16","-","-4.69%"
"Jan 14, 2022","14.86","14.86","14.86","14.86","-","6.45%"
"Jan 13, 2022","13.96","13.96","13.96","13.96","-","-3.74%"
"Jan 12, 2022","14.50","14.50","14.50","14.50","-","-2.01%"
"Jan 11, 2022","14.80","14.80","14.80","14.80","-","2.00%"
"Jan 10, 2022","14.51","14.51","14.51","14.51","-","4.22%"
"Jan 07, 2022","13.92","13.92","13.92","13.92","-","0.06%"
"Jan 06, 2022","13.91","13.91","13.91","13.91","-","2.58%"
"Jan 05, 2022","13.56","13.56","13.56","13.56","-","-3.08%"
"Jan 04, 2022","13.99","13.99","13.99","13.99","-","-0.74%"
"Jan 03, 2022","14.10","14.10","14.10","14.10","-","-0.86%"
"Dec 31, 2021","14.22","14.22","14.22","14.22","-","-7.76%"
"Dec 30, 2021","15.42","15.42","15.42","15.42","-","4.22%"
"Dec 29, 2021","14.79","14.79","14.79","14.79","-","-0.31%"
"Dec 28, 2021","14.84","14.84","14.84","14.84","-","-3.59%"
"Dec 27, 2021","15.39","15.39","15.39","15.39","-","0.61%"
"Dec 24, 2021","15.30","15.30","15.30","15.30","-","0.29%"
"Dec 23, 2021","15.25","15.25","15.25","15.25","-","6.90%"
"Dec 22, 2021","14.27","14.27","14.27","14.27","-","1.72%"
"Dec 21, 2021","14.03","14.03","14.03","14.03","-","-0.95%"
"Dec 20, 2021","14.16","14.16","14.16","14.16","-","-1.52%"
"Dec 17, 2021","14.38","14.38","14.38","14.38","-","-10.29%"
"Dec 16, 2021","16.03","16.03","16.03","16.03","-","0.33%"
"Dec 15, 2021","15.98","15.98","15.98","15.98","-","1.22%"
"Dec 14, 2021","15.79","15.79","15.79","15.79","-","-3.54%"
"Dec 13, 2021","16.37","16.37","16.37","16.37","-","4.98%"
"Dec 10, 2021","15.59","15.59","15.59","15.59","-","2.92%"
"Dec 09, 2021","15.15","15.15","15.15","15.15","-","0.15%"
"Dec 08, 2021","15.12","15.12","15.12","15.12","-","-1.18%"
"Dec 07, 2021","15.30","15.30","15.30","15.30","-","-6.19%"
"Dec 06, 2021","16.31","16.31","16.31","16.31","-","-0.65%"
"Dec 03, 2021","16.42","16.42","16.42","16.42","-","6.39%"
"Dec 02, 2021","15.44","15.44","15.44","15.44","-","-5.50%"
"Dec 01, 2021","16.33","16.33","16.33","16.33","-","6.47%"
"Nov 30, 2021","15.34","15.34","15.34","15.34","-","-0.42%"
"Nov 29, 2021","15.41","15.41","15.41","15.41","-","0.89%"
"Nov 26, 2021","15.27","15.27","15.27","15.27","-","-1.52%"
"Nov 25, 2021","15.51","15.51","15.51","15.51","-","1.60%"
"Nov 24, 2021","15.26","15.26","15.26","15.26","-","1.99%"
"Nov 23, 2021","14.97","14.97","14.97","14.97","-","-0.69%"
"Nov 22, 2021","15.07","15.07","15.07","15.07","-","2.06%"
"Nov 19, 2021","14.77","14.77","14.77","14.77","-","-11.68%"
"Nov 18, 2021","16.72","16.72","16.72","16.72","-","7.77%"
"Nov 17, 2021","15.52","15.52","15.52","15.52","-","-2.50%"
"Nov 16, 2021","15.91","15.91","15.91","15.91","-","-0.73%"
"Nov 15, 2021","16.03","16.03","16.03","16.03","-","0.50%"
"Nov 12, 2021","15.95","15.95","15.95","15.95","-","-1.73%"
"Nov 11, 2021","16.23","16.23","16.23","16.23","-","0.50%"
"Nov 10, 2021","16.15","16.15","16.15","16.15","-","0.81%"
"Nov 09, 2021","16.02","16.02","16.02","16.02","-","0.50%"
"Nov 08, 2021","15.94","15.94","15.94","15.94","-","-0.93%"
"Nov 05, 2021","16.09","16.09","16.09","16.09","-","-0.74%"
"Nov 04, 2021","16.21","16.21","16.21","16.21","-","0.37%"
"Nov 03, 2021","16.15","16.15","16.15","16.15","-","-0.49%"
"Nov 02, 2021","16.23","16.23","16.23","16.23","-","0.62%"
"Nov 01, 2021","16.13","16.13","16.13","16.13","-","-2.66%"
"Oct 28, 2021","16.57","16.57","16.57","16.57","-","1.47%"
"Oct 27, 2021","16.33","16.33","16.33","16.33","-","-0.18%"
"Oct 26, 2021","16.36","16.36","16.36","16.36","-","-0.37%"
"Oct 25, 2021","16.42","16.42","16.42","16.42","-","0.61%"
"Oct 22, 2021","16.32","16.32","16.32","16.32","-","-11.06%"
"Oct 21, 2021","18.35","18.35","18.35","18.35","-","3.09%"
"Oct 20, 2021","17.80","17.80","17.80","17.80","-","-0.89%"
"Oct 19, 2021","17.96","17.96","17.96","17.96","-","0.17%"
"Oct 18, 2021","17.93","17.93","17.93","17.93","-","0.11%"
"Oct 15, 2021","17.91","17.91","17.91","17.91","-","1.13%"
"Oct 14, 2021","17.71","17.71","17.71","17.71","-","-2.42%"
"Oct 13, 2021","18.15","18.15","18.15","18.15","-","0.72%"
"Oct 12, 2021","18.02","18.02","18.02","18.02","-","-1.04%"
"Oct 11, 2021","18.21","18.21","18.21","18.21","-","0.11%"
"Oct 08, 2021","18.19","18.19","18.19","18.19","-","0.89%"
"Oct 07, 2021","18.03","18.03","18.03","18.03","-","0.06%"
"Oct 06, 2021","18.02","18.02","18.02","18.02","-","0.11%"
"Oct 05, 2021","18.00","18.00","18.00","18.00","-","-1.32%"
"Oct 04, 2021","18.24","18.24","18.24","18.24","-","-0.22%"
"Oct 01, 2021","18.28","18.28","18.28","18.28","-","-0.22%"
"Sep 30, 2021","18.32","18.32","18.32","18.32","-","1.10%"
"Sep 29, 2021","18.12","18.12","18.12","18.12","-","1.00%"
"Sep 28, 2021","17.94","17.94","17.94","17.94","-","0.45%"
"Sep 27, 2021","17.86","17.86","17.86","17.86","-","-2.46%"
"Sep 24, 2021","18.31","18.31","18.31","18.31","-","-2.86%"
"Sep 23, 2021","18.85","18.85","18.85","18.85","-","0.00%"
"Sep 22, 2021","18.85","18.85","18.85","18.85","-","-0.95%"
"Sep 21, 2021","19.03","19.03","19.03","19.03","-","-0.10%"
"Sep 20, 2021","19.05","19.05","19.05","19.05","-","2.36%"
"Sep 17, 2021","18.61","18.61","18.61","18.61","-","-1.43%"
"Sep 16, 2021","18.88","18.88","18.88","18.88","-","-0.11%"
"Sep 15, 2021","18.90","18.90","18.90","18.90","-","-0.94%"
"Sep 14, 2021","19.08","19.08","19.08","19.08","-","0.05%"
"Sep 13, 2021","19.07","19.07","19.07","19.07","-","0.00%"
"Sep 10, 2021","19.07","19.07","19.07","19.07","-","-0.05%"
"Sep 09, 2021","19.08","19.08","19.08","19.08","-","0.32%"
"Sep 08, 2021","19.02","19.02","19.02","19.02","-","0.11%"
"Sep 07, 2021","19.00","19.00","19.00","19.00","-","0.00%"
"Sep 06, 2021","19.00","19.00","19.00","19.00","-","0.05%"
"Sep 03, 2021","18.99","18.99","18.99","18.99","-","2.04%"
"Sep 02, 2021","18.61","18.61","18.61","18.61","-","-1.90%"
"Sep 01, 2021","18.97","18.97","18.97","18.97","-","0.11%"
"Aug 31, 2021","18.95","18.95","18.95","18.95","-","-0.21%"
"Aug 27, 2021","18.99","18.99","18.99","18.99","-","-0.05%"
"Aug 26, 2021","19.00","19.00","19.00","19.00","-","0.05%"
"Aug 25, 2021","18.99","18.99","18.99","18.99","-","-0.05%"
"Aug 24, 2021","19.00","19.00","19.00","19.00","-","0.05%"
"Aug 23, 2021","18.99","18.99","18.99","18.99","-","-0.05%"
"Aug 20, 2021","19.00","19.00","19.00","19.00","-","1.06%"
"Aug 19, 2021","18.80","18.80","18.80","18.80","-","0.21%"
"Aug 18, 2021","18.76","18.76","18.76","18.76","-","-1.16%"
"Aug 17, 2021","18.98","18.98","18.98","18.98","-","-0.11%"
"Aug 16, 2021","19.00","19.00","19.00","19.00","-","0.11%"
"Aug 13, 2021","18.98","18.98","18.98","18.98","-","0.11%"
"Aug 12, 2021","18.96","18.96","18.96","18.96","-","-0.05%"
"Aug 11, 2021","18.97","18.97","18.97","18.97","-","-0.58%"
"Aug 10, 2021","19.08","19.08","19.08","19.08","-","0.10%"
"Aug 09, 2021","19.06","19.06","19.06","19.06","-","-0.05%"
"Aug 06, 2021","19.07","19.07","19.07","19.07","-","0.69%"
"Aug 05, 2021","18.94","18.94","18.94","18.94","-","-0.11%"
"Aug 04, 2021","18.96","18.96","18.96","18.96","-","-0.11%"
"Aug 03, 2021","18.98","18.98","18.98","18.98","-","-0.16%"
"Aug 02, 2021","19.01","19.01","19.01","19.01","-","-0.26%"
"Jul 30, 2021","19.06","19.06","19.06","19.06","-","0.32%"
"Jul 29, 2021","19.00","19.00","19.00","19.00","-","0.11%"
"Jul 28, 2021","18.98","18.98","18.98","18.98","-","0.16%"
"Jul 27, 2021","18.95","18.95","18.95","18.95","-","-0.94%"
"Jul 26, 2021","19.13","19.13","19.13","19.13","-","0.95%"
"Jul 19, 2021","18.95","18.95","18.95","18.95","-","-0.26%"
"Jul 16, 2021","19.00","19.00","19.00","19.00","-","-0.21%"
"Jul 14, 2021","19.04","19.04","19.04","19.04","-","0.00%"
"Jul 13, 2021","19.04","19.04","19.04","19.04","-","0.21%"
"Jul 12, 2021","19.00","19.00","19.00","19.00","-","0.16%"
"Jul 09, 2021","18.97","18.97","18.97","18.97","-","0.69%"
"Jul 08, 2021","18.84","18.84","18.84","18.84","-","-1.26%"
"Jul 07, 2021","19.08","19.08","19.08","19.08","-","-0.93%"
"Jul 06, 2021","19.26","19.26","19.26","19.26","-","1.74%"
"Jul 05, 2021","18.93","18.93","18.93","18.93","-","-0.11%"
"Jul 02, 2021","18.95","18.95","18.95","18.95","-","-0.26%"
"Jul 01, 2021","19.00","19.00","19.00","19.00","-","-0.16%"
"Jun 30, 2021","19.03","19.03","19.03","19.03","-","0.21%"
"Jun 29, 2021","18.99","18.99","18.99","18.99","-","-0.11%"
"Jun 28, 2021","19.01","19.01","19.01","19.01","-","-0.37%"
"Jun 25, 2021","19.08","19.08","19.08","19.08","-","1.22%"
"Jun 24, 2021","18.85","18.85","18.85","18.85","-","-1.00%"
"Jun 23, 2021","19.04","19.04","19.04","19.04","-","-0.57%"
"Jun 22, 2021","19.15","19.15","19.15","19.15","-","0.37%"
"Jun 21, 2021","19.08","19.08","19.08","19.08","-","-1.09%"
"Jun 18, 2021","19.29","19.29","19.29","19.29","-","0.78%"
