"Date","Price","Open","High","Low","Change %"
"May 26, 2022","16.4125","16.3524","16.4676","16.3383","0.45%"
"May 25, 2022","16.3383","16.0931","16.4100","16.0165","1.53%"
"May 24, 2022","16.0914","15.9312","16.1863","15.8672","1.03%"
"May 23, 2022","15.9266","15.9084","16.0525","15.6410","0.20%"
"May 20, 2022","15.8951","15.8822","16.0490","15.8160","0.37%"
"May 19, 2022","15.8363","15.9469","15.9875","15.8045","-0.57%"
"May 18, 2022","15.9272","15.9002","16.0291","15.7232","0.20%"
"May 17, 2022","15.8951","15.5493","15.9469","15.4920","2.29%"
"May 16, 2022","15.5393","15.4793","15.6643","15.3958","0.40%"
"May 13, 2022","15.4769","15.3809","15.5602","15.2765","0.74%"
"May 12, 2022","15.3626","15.3132","15.4584","15.1902","0.43%"
"May 11, 2022","15.2970","15.2583","15.4620","15.1531","0.32%"
"May 10, 2022","15.2487","15.0887","15.3214","15.0332","1.09%"
"May 09, 2022","15.0842","14.9380","15.1432","14.8624","0.92%"
"May 06, 2022","14.9468","14.8636","14.9867","14.7925","0.65%"
"May 05, 2022","14.8496","14.7370","14.9200","14.6820","0.82%"
"May 04, 2022","14.7282","14.8153","14.8479","14.7122","-0.46%"
"May 03, 2022","14.7964","14.8830","14.9113","14.8036","-0.46%"
"May 02, 2022","14.8651","14.8462","14.9166","14.8345","0.16%"
"Apr 29, 2022","14.8416","14.7877","14.8958","14.6757","0.36%"
"Apr 28, 2022","14.7888","14.8095","14.8875","14.6840","-0.05%"
"Apr 27, 2022","14.7956","14.7997","14.8811","14.7409","-0.01%"
"Apr 26, 2022","14.7970","14.7764","14.8639","14.7017","0.18%"
"Apr 25, 2022","14.7702","14.7400","14.8405","14.6722","0.25%"
"Apr 22, 2022","14.7339","14.7077","14.7926","14.6439","0.22%"
"Apr 21, 2022","14.7011","14.6754","14.7700","14.5863","0.21%"
"Apr 20, 2022","14.6709","14.6549","14.7338","14.5748","0.21%"
"Apr 19, 2022","14.6408","14.6416","14.7280","14.5684","0.04%"
"Apr 18, 2022","14.6347","14.6327","14.7216","14.5311","0.05%"
"Apr 15, 2022","14.6280","14.6128","14.7110","14.5245","0.22%"
"Apr 14, 2022","14.5959","14.5955","14.6781","14.5278","0.03%"
"Apr 13, 2022","14.5908","14.6007","14.7408","14.4805","-0.05%"
"Apr 12, 2022","14.5979","14.6635","14.7432","14.5519","-0.43%"
"Apr 11, 2022","14.6613","14.7420","14.8048","14.6287","-0.56%"
"Apr 08, 2022","14.7441","14.7377","14.8159","14.6540","0.08%"
"Apr 07, 2022","14.7327","14.7095","14.8154","14.6483","0.20%"
"Apr 06, 2022","14.7029","14.7198","14.8034","14.6515","-0.09%"
"Apr 05, 2022","14.7162","14.6871","14.7792","14.6200","0.26%"
"Apr 04, 2022","14.6782","14.6861","14.7753","14.6260","-0.03%"
"Apr 01, 2022","14.6825","14.6735","14.7685","14.5618","0.09%"
"Mar 31, 2022","14.6700","14.6552","14.7345","14.5755","0.13%"
"Mar 30, 2022","14.6503","14.5843","14.7425","14.5297","0.58%"
"Mar 29, 2022","14.5665","14.8184","14.9290","14.5562","-1.61%"
"Mar 28, 2022","14.8046","14.8352","14.9073","14.7585","-0.16%"
"Mar 25, 2022","14.8286","14.8241","14.9087","14.7190","0.12%"
"Mar 24, 2022","14.8105","14.8373","14.9250","14.7531","-0.11%"
"Mar 23, 2022","14.8274","14.8251","14.9067","14.7262","0.09%"
"Mar 22, 2022","14.8147","14.8249","14.9045","14.7440","-0.01%"
"Mar 21, 2022","14.8157","14.8117","14.9130","14.7433","0.17%"
"Mar 18, 2022","14.7899","14.7001","14.8864","14.5535","0.61%"
"Mar 17, 2022","14.6998","14.6307","14.8300","14.5015","0.63%"
"Mar 16, 2022","14.6077","14.6981","14.8340","14.5655","-0.63%"
"Mar 15, 2022","14.7002","14.7810","14.9157","14.4972","-0.51%"
"Mar 14, 2022","14.7754","14.7597","14.9675","14.6952","0.11%"
"Mar 11, 2022","14.7595","14.8418","15.0425","14.6613","-0.36%"
"Mar 10, 2022","14.8131","14.6505","14.9281","14.5609","1.20%"
"Mar 09, 2022","14.6378","14.4939","14.7076","14.4394","1.12%"
"Mar 08, 2022","14.4762","14.3767","14.6035","14.3185","0.76%"
"Mar 07, 2022","14.3666","14.1515","14.4385","14.0854","1.28%"
"Mar 04, 2022","14.1845","14.1188","14.4431","14.0305","0.63%"
"Mar 03, 2022","14.0950","14.0177","14.2375","13.9476","0.62%"
"Mar 02, 2022","14.0084","13.9176","14.2035","13.8327","0.66%"
"Mar 01, 2022","13.9160","13.8295","14.0325","13.7020","0.52%"
"Feb 28, 2022","13.8443","13.8237","14.1590","13.6515","0.18%"
"Feb 25, 2022","13.8196","14.0343","14.1635","13.7359","-1.31%"
"Feb 24, 2022","14.0034","13.8225","14.7314","13.7672","1.41%"
"Feb 23, 2022","13.8081","13.7891","13.8840","13.6535","0.18%"
"Feb 22, 2022","13.7828","13.6980","13.9375","13.6119","0.74%"
"Feb 21, 2022","13.6809","13.6729","13.7183","13.5491","0.28%"
"Feb 18, 2022","13.6426","13.5759","13.6955","13.5005","0.51%"
"Feb 17, 2022","13.5736","13.5996","13.6760","13.5330","-0.17%"
"Feb 16, 2022","13.5973","13.6071","13.6910","13.5327","0.03%"
"Feb 15, 2022","13.5939","13.5990","13.7419","13.5148","0.07%"
"Feb 14, 2022","13.5848","13.5212","13.6835","13.3962","0.50%"
"Feb 11, 2022","13.5177","13.4979","13.6185","13.3973","0.37%"
"Feb 10, 2022","13.4683","13.5400","13.6867","13.4310","-0.42%"
"Feb 09, 2022","13.5245","13.5639","13.6940","13.4590","-0.24%"
"Feb 08, 2022","13.5565","13.5969","13.7458","13.4707","-0.11%"
"Feb 07, 2022","13.5718","13.5679","13.6985","13.4429","0.09%"
"Feb 04, 2022","13.5596","13.5618","13.6115","13.4976","0.03%"
"Feb 03, 2022","13.5549","13.4616","13.7474","13.3733","0.76%"
"Feb 02, 2022","13.4525","13.3785","13.6895","13.2437","0.62%"
"Feb 01, 2022","13.3696","13.3221","13.6005","13.1972","0.47%"
"Jan 31, 2022","13.3074","13.5365","13.6905","13.2147","-1.80%"
"Jan 28, 2022","13.5507","13.6501","13.7610","13.4400","-0.71%"
"Jan 27, 2022","13.6470","13.5794","13.8010","13.4368","0.67%"
"Jan 26, 2022","13.5561","13.4816","13.7030","13.3523","0.59%"
